,media_id,favorites,coins,views,danmakus,media_tags,score,cm_count
60,2680,1780527,103428,28290121,1349934,"['搞笑', '校园', '日常', '漫画改']",9.8,16761.0
61,28221403,1787787,781806,34876692,1187034,"['漫画改', '校园', '恋爱', '日常', '搞笑']",9.9,77471.0
62,6463,1796169,229203,25891281,895468,"['奇幻', '漫画改', '冒险']",9.8,51387.0
63,11932,1803960,138581,69185710,499206,"['热血', '战斗', '漫画改', '架空', '冒险']",9.7,19866.0
64,2732,1809127,185960,88023716,1917705,"['奇幻', '战斗', '漫画改', '神魔']",9.5,7620.0
65,28222618,1820535,164137,17299231,238837,"['漫画改', '奇幻', '恋爱', '校园', '架空']",9.8,34297.0
66,1587,1820349,193490,97286341,2338238,"['奇幻', '热血']",9.4,9701.0
67,6001,1822860,91196,37307503,940442,"['小说改', '奇幻', '魔法', '架空', '冒险']",8.7,4696.0
68,8812,1826606,196412,59625548,922845,"['搞笑', '校园', '漫画改']",9.8,26893.0
69,28221415,1837888,265527,39608821,817398,"['日常', '漫画改', '校园', '搞笑', '声控']",9.8,48997.0
70,6341,1510383,41737,22649585,567383,"['治愈', '神魔']",9.2,3605.0
71,2722,1511291,85329,69374029,1121154,"['校园', '奇幻', '战斗', '架空', '冒险']",8.1,2319.0
72,1089,1541442,142448,30631282,845394,"['时泪', '奇幻', '战斗', '热血', '架空', '冒险']",9.9,50814.0
73,6304,1555269,77236,54327758,925282,"['小说改', '机战', '奇幻', '魔法', '架空', '穿越']",8.4,6006.0
74,11732,1559410,60003,29333079,529726,"['漫画改', '萌系', '搞笑', '日常']",9.6,10817.0
75,5069,1568437,159421,81577081,1152410,"['校园', '搞笑', '日常', '漫画改']",9.7,11520.0
76,28221401,1574297,125921,42019739,788381,"['小说改', '奇幻', '魔法', '穿越', '冒险', '架空']",8.1,30369.0
77,11712,1577614,109734,40001466,936771,"['搞笑', '漫画改']",8.5,32263.0
78,2660,1580371,90328,24101098,1965341,"['萌系', '校园', '日常', '恋爱', '小说改']",9.2,6090.0
79,28222688,263275,67884,9698407,176371,"['漫画改', '日常', '校园', '恋爱']",9.6,4274.0
80,6310,1594054,65359,34068588,905110,"['小说改', '奇幻', '美食', '架空', '穿越']",9.2,5730.0
81,2743,1602470,182407,60159227,1809081,"['校园', '战斗', '架空', '冒险']",9.3,8588.0
82,844,1616534,27875,5006465,115972,"['萌系', '搞笑', '日常', '漫画改']",9.8,20324.0
83,102312,1619146,248479,40351576,484071,"['搞笑', '校园', '社团', '运动', '声控', '漫画改']",9.8,40864.0
84,2688,1621666,81685,11374685,458225,"['催泪', '日常']",9.5,6810.0
85,969,1326805,51926,9342401,335658,"['日常', '少女', '校园', '恋爱', '搞笑', '漫画改']",9.8,8926.0
86,140552,1340640,119917,38070265,1270545,"['热血', '奇幻', '漫画改', '战斗', '冒险']",9.8,40306.0
87,2546,1347068,104171,11455420,444268,"['日常', '少女', '治愈']",9.6,7647.0
88,427,1354555,203916,27946274,2468986,"['校园', '战斗', '奇幻']",9.6,8584.0
89,5070,1356809,263649,189687020,1233724,"['奇幻', '校园', '泡面', '漫画改']",9.6,5623.0
90,6439,1369472,93421,26523312,348746,"['奇幻', '战斗', '漫画改']",9.8,25459.0
91,2932,1388052,92415,54149817,778867,"['日常', '小说改', '神魔', '职场', '架空', '穿越']",9.7,10622.0
92,1553,1397157,78804,40308573,725452,"['科幻', '热血', '战斗']",9.5,7277.0
93,6432,1397740,100066,25693509,850171,"['萌系', '少女', '日常', '漫画改']",9.5,14866.0
94,79472,1414375,160156,36504049,386139,['运动'],9.8,53369.0
95,2667,1416141,93191,27032365,1882485,"['校园', '恋爱']",9.0,6613.0
96,28222693,1420941,160145,18501611,497731,"['小说改', '校园', '恋爱']",8.8,38279.0
97,959,1421109,46759,5163113,213637,"['奇幻', '校园', '战斗', '催泪', '原创', '穿越']",9.7,12449.0
98,6425,1425484,110459,17854281,532791,"['萌系', '漫画改', '日常', '治愈', '架空']",9.8,20768.0
