season_id,media_id,title,index_show,is_finish,video_link,cover,pub_real_time,renewal_time,favorites,coins,views,danmakus,depth,download_timeout,download_slot,download_latency,media_tags,score,cm_count
25681,135652,JOJO的奇妙冒险 黄金之风,全42话,1,https://www.bilibili.com/bangumi/play/ss25681,http://i0.hdslb.com/bfs/bangumi/f34ff3975c39913af936c133ae60a5891babba08.png,1538755200,1564317000,2856476,817928,202581923,2264497,3,180.0,www.bilibili.com,0.04712486267089844,"['热血', '智斗', '战斗', '漫画改', '冒险']",9.8,173354人评
5998,5998,Re：创造主,全22话,1,https://www.bilibili.com/bangumi/play/ss5998,http://i0.hdslb.com/bfs/bangumi/3944fe0b84a5763cde6b0573773b89ba86b4321d.jpg,1491667200,1505577600,2859629,201378,69821777,2299740,3,180.0,www.bilibili.com,0.2882509231567383,"['科幻', '奇幻', '原创', '穿越']",8.5,17639人评
23858,78552,我的英雄学院 第三季,全25话,1,https://www.bilibili.com/bangumi/play/ss23858,http://i0.hdslb.com/bfs/bangumi/1ae7312cddb0cd5cf3eb985904f0a9cb85f897aa.png,1523030400,1538214300,2871608,453421,136335677,2516751,3,180.0,www.bilibili.com,0.050718069076538086,"['热血', '战斗', '励志', '漫画改', '架空']",9.7,65300人评
835,835,我们仍未知道那天所看见的花的名字。,全11话,1,https://www.bilibili.com/bangumi/play/ss835,http://i0.hdslb.com/bfs/bangumi/5f4beb5a7b94908790ad18b1e0f54c92fc646c12.jpg,1302710400,1406892014,2913590,274453,29515759,2019108,3,180.0,www.bilibili.com,0.3404810428619385,"['日常', '治愈', '催泪', '原创']",9.5,16955人评
1586,1586,Fate/stay night [Unlimited Blade Works] 第一季,全13话,1,https://www.bilibili.com/bangumi/play/ss1586,http://i0.hdslb.com/bfs/bangumi/e1f891ad2602265655f3ef181e343e253f017fce.jpg,1412352000,1419703200,2978175,221287,117824670,4691753,3,180.0,www.bilibili.com,0.04939007759094238,"['奇幻', '热血']",9.3,11465人评
26283,4316382,五等分的新娘,全12话,1,https://www.bilibili.com/bangumi/play/ss26283,http://i0.hdslb.com/bfs/bangumi/6fbd8eba88bbe5ea90b760771e5fca61117c00e9.png,1547136000,1553794080,2980328,457578,71500424,1711930,3,180.0,www.bilibili.com,0.04926490783691406,"['恋爱', '校园', '日常', '漫画改']",8.7,38672人评
425,425,某科学的超电磁炮,全24话,1,https://www.bilibili.com/bangumi/play/ss425,http://i0.hdslb.com/bfs/bangumi/1ba189ac8338939b7e07f3bae072a32efe6d8c1a.jpg,1254412800,1456284928,2994053,371881,51291444,4210171,3,180.0,www.bilibili.com,0.05195808410644531,"['校园', '战斗', '奇幻', '漫画改']",9.6,13995人评
3398,3398,冰菓,全22话,1,https://www.bilibili.com/bangumi/play/ss3398,http://i0.hdslb.com/bfs/bangumi/074056b8543ed2ceb53dc13a79da1eafa3fa921a.jpg,1335024000,1457417913,3169519,218104,43053711,1962221,3,180.0,www.bilibili.com,0.05168294906616211,"['恋爱', '推理', '校园', '日常', '社团']",9.8,29010人评
28320,28222061,命运-冠位指定 绝对魔兽战线 巴比伦尼亚,更新至第6节,0,https://www.bilibili.com/bangumi/play/ss28320,http://i0.hdslb.com/bfs/bangumi/12cae87721deeee6cda923e49b6a7c1e9e81cfb8.png,1570291200,1573315203,1791114,243074,26942430,435046,3,180.0,www.bilibili.com,0.049451589584350586,"['游戏改', '奇幻', '战斗', '冒险', '声控', '穿越']",9.7,14321人评
26284,4316482,盾之勇者成名录,全25话,1,https://www.bilibili.com/bangumi/play/ss26284,http://i0.hdslb.com/bfs/bangumi/de944b7c9306932d8dd3dcaeaf2eeec8670deec5.png,1546358400,1561557600,3224821,840210,153901397,2687987,3,180.0,www.bilibili.com,0.08413577079772949,"['小说改', '奇幻', '魔法', '架空', '穿越', '冒险']",7.2,202745人评
1699,1699,四月是你的谎言,全22话,1,https://www.bilibili.com/bangumi/play/ss1699,http://i0.hdslb.com/bfs/bangumi/6b6b2423ceff5fbdfbbee3a09a85173b8bd59a03.jpg,1412784000,1426787122,3233584,359188,94524828,3795105,3,180.0,www.bilibili.com,0.043435096740722656,"['少女', '音乐', '催泪', '恋爱']",9.7,23646人评
5550,5550,夏目友人帐 伍,全11话,1,https://www.bilibili.com/bangumi/play/ss5550,http://i0.hdslb.com/bfs/bangumi/2673ac643b48eb5bda64c960a2ca850fbebb839d.jpg,1475596800,1482262210,2267213,245863,42675044,1467316,4,180.0,www.bilibili.com,0.3120291233062744,"['治愈', '催泪', '神魔', '漫画改']",9.6,4467人评
1588,1588,罪恶王冠,全22话,1,https://www.bilibili.com/bangumi/play/ss1588,http://i0.hdslb.com/bfs/bangumi/7ec9487f007c278733212908a6f607e4a245b1d4.jpg,1318435200,1422208245,2282044,125291,36349112,2499252,4,180.0,www.bilibili.com,0.05782675743103027,"['奇幻', '战斗', '热血', '原创', '架空']",8.7,14291人评
23850,78352,超能力女儿,全12话,1,https://www.bilibili.com/bangumi/play/ss23850,http://i0.hdslb.com/bfs/bangumi/152c536f8ecaad8f3d7d568d33da81c963a4a722.png,1522944000,1532966400,2308299,237234,62859097,827192,4,180.0,www.bilibili.com,0.06354999542236328,"['搞笑', '日常', '漫画改']",9.6,29860人评
27995,28221390,平凡职业造就世界最强,全14话,1,https://www.bilibili.com/bangumi/play/ss27995,http://i0.hdslb.com/bfs/bangumi/ce55ba2772db23fcf816ac7f82afc2f6eb2c26c9.png,1562515200,1570465800,2315886,232127,73674227,1203298,4,180.0,www.bilibili.com,0.05671405792236328,"['小说改', '奇幻', '战斗', '冒险', '架空', '穿越']",5.5,189402人评
5058,5058,路人超能100(灵能百分百),全12话,1,https://www.bilibili.com/bangumi/play/ss5058,http://i0.hdslb.com/bfs/bangumi/e2b46584e29f2349748b48c5fb26ce02fcbca4e8.jpg,1468252800,1474907400,2320019,159004,73811641,1160667,4,180.0,www.bilibili.com,0.05903983116149902,"['热血', '奇幻', '战斗']",9.7,14320人评
26281,5267750,约定的梦幻岛,全12话,1,https://www.bilibili.com/bangumi/play/ss26281,http://i0.hdslb.com/bfs/bangumi/65f89e0a0d050ff987159829fcf565faae199d08.png,1546963200,1553795700,2329506,297527,41488620,555803,4,180.0,www.bilibili.com,0.06302475929260254,"['热血', '智斗', '励志', '漫画改']",9.8,48799人评
21464,8772,Fate/EXTRA Last Encore,全13话,1,https://www.bilibili.com/bangumi/play/ss21464,http://i0.hdslb.com/bfs/bangumi/140bacf044bb0c0841bd1f0e4fc682d037f73f88.jpg,1517068800,1532869200,2389199,126228,36069890,794405,4,180.0,www.bilibili.com,0.06065106391906738,"['奇幻', '战斗', '游戏改']",8.8,35273人评
1650,1650,Fate/Zero 第一季,全13话,1,https://www.bilibili.com/bangumi/play/ss1650,http://i0.hdslb.com/bfs/bangumi/46a9b18f6f7b08e30a781cf1b44594f1fb2c9e64.jpg,1317398400,1412915780,2393308,114841,54684259,2940615,4,180.0,www.bilibili.com,0.05614900588989258,"['时泪', '奇幻', '战斗', '热血', '声控']",9.5,10080人评
3365,3365,境界的彼方,全12话,1,https://www.bilibili.com/bangumi/play/ss3365,http://i0.hdslb.com/bfs/bangumi/92824bc6a8c7aabbf494c0b276d4aa7b70842976.jpg,1380643200,1456369099,2398718,102164,23364549,1125823,4,180.0,www.bilibili.com,0.058603763580322266,"['恋爱', '奇幻', '战斗']",9.4,10032人评
21554,8932,龙王的工作！,全12话,1,https://www.bilibili.com/bangumi/play/ss21554,http://i0.hdslb.com/bfs/bangumi/b0207dd5dd7a1ce700b9e8f4dbbcfe03c922be6a.jpg,1515340800,1522074599,2440105,196856,57625320,2211878,4,180.0,www.bilibili.com,0.1648108959197998,"['小说改', '职场']",9.0,19265人评
22504,33512,卫宫家今天的饭,全13话,1,https://www.bilibili.com/bangumi/play/ss22504,http://i0.hdslb.com/bfs/bangumi/f24f032372642f35257f66478ccfa51800b504a8.jpg,1514736000,1546349400,2458260,292089,49190104,881117,4,180.0,www.bilibili.com,0.05719184875488281,"['日常', '美食']",9.8,40665人评
6440,6440,如果能写小说就好了,全12话,1,https://www.bilibili.com/bangumi/play/ss6440,http://i0.hdslb.com/bfs/bangumi/bdcab81683bf4f048de4fa4fe0754c3650e93fea.jpg,1507392000,1514127600,2461624,167835,46298362,1240035,4,180.0,www.bilibili.com,0.05639004707336426,"['小说改', '恋爱']",9.2,22143人评
25617,134912,魔法禁书目录 第三季,全26话,1,https://www.bilibili.com/bangumi/play/ss25617,http://i0.hdslb.com/bfs/bangumi/a92892921f3209f7784a954c37467c9869a1d4c1.png,1538668800,1554474600,2493527,431046,63334961,1040263,4,180.0,www.bilibili.com,0.055361032485961914,"['小说改', '热血', '科幻', '奇幻', '校园', '战斗', '魔法']",7.7,41948人评
1512,1512,路人女主的养成方法,全13话,1,https://www.bilibili.com/bangumi/play/ss1512,http://i0.hdslb.com/bfs/bangumi/cb536ffb951d5730075012375785d649ce8bccc8.jpg,1420646400,1427392200,2512809,184345,76690234,2237746,4,180.0,www.bilibili.com,0.15658211708068848,"['恋爱', '小说改']",9.3,12229人评
2572,2572,Charlotte,全13话,1,https://www.bilibili.com/bangumi/play/ss2572,http://i0.hdslb.com/bfs/bangumi/9c3e77244687a81e4b75e88ec22eeb8dbaa26380.jpg,1435939200,1443285000,2521749,211095,78015424,1455218,4,180.0,www.bilibili.com,0.058547019958496094,"['奇幻', '日常', '校园', '战斗', '穿越']",9.3,18643人评
6434,6434,宝石之国,全12话,1,https://www.bilibili.com/bangumi/play/ss6434,http://i0.hdslb.com/bfs/bangumi/146b2d991c87c333553d2b7b6e15f009f9359517.jpg,1507305600,1514037600,2529403,154320,50236823,1257992,4,180.0,www.bilibili.com,0.054032087326049805,"['战斗', '漫画改', '架空', '励志', '催泪']",9.8,47670人评
5017,5017,食戟之灵 贰之皿,全13话,1,https://www.bilibili.com/bangumi/play/ss5017,http://i0.hdslb.com/bfs/bangumi/6b4ba7bd59be1f9de225294d18ca5e6819185c06.jpg,1467388800,1474725610,1969500,176019,71282553,1680908,5,180.0,www.bilibili.com,0.060404062271118164,"['热血', '美食']",9.3,4318人评
1552,1552,可塑性记忆,全13话,1,https://www.bilibili.com/bangumi/play/ss1552,http://i0.hdslb.com/bfs/bangumi/3e688cd89f778968bdf6f6d9ca6f3d20b76f04ea.jpg,1428076800,1435445356,2001895,306534,40990327,1867470,5,180.0,www.bilibili.com,0.05734610557556152,"['科幻', '日常', '少女', '催泪']",9.6,11597人评
5793,5793,珈百璃的堕落,全12话,1,https://www.bilibili.com/bangumi/play/ss5793,http://i0.hdslb.com/bfs/bangumi/7b9a5a6e6c5ca157a4c18b01093a7bb1701f4606.jpg,1483891200,1490626802,2008633,164550,48904444,1517666,5,180.0,www.bilibili.com,0.06344485282897949,"['日常', '漫画改', '神魔']",9.5,9284人评
4340,4340,中二病也要谈恋爱！,全13话,1,https://www.bilibili.com/bangumi/play/ss4340,http://i0.hdslb.com/bfs/bangumi/a57b2da42518f7f496a75fd4cccae781c5346df7.jpg,1349193600,1468825940,2011987,202785,27319250,2319793,5,180.0,www.bilibili.com,0.05911397933959961,['恋爱'],9.6,10067人评
26363,5912238,君主·埃尔梅罗二世事件簿 魔眼收集列车 Grace note,全13话,1,https://www.bilibili.com/bangumi/play/ss26363,http://i0.hdslb.com/bfs/bangumi/1a017ba38809a4939bae1ef65cd2815832fc3a80.jpg,1562428800,1569688200,2020787,219373,36323260,473596,5,180.0,www.bilibili.com,0.05428004264831543,"['小说改', '奇幻', '魔法', '冒险', '推理']",9.8,33165人评
2731,2731,野良神,全12话,1,https://www.bilibili.com/bangumi/play/ss2731,http://i0.hdslb.com/bfs/bangumi/f1146494f45cc2c4a3fa0d081c5ecf4bc3147442.jpg,1388851200,1463638237,2024115,116915,27894045,1133877,5,180.0,www.bilibili.com,0.05874824523925781,"['奇幻', '战斗', '漫画改']",9.5,7680人评
53,53,月刊少女野崎君,全12话,1,https://www.bilibili.com/bangumi/play/ss53,http://i0.hdslb.com/bfs/bangumi/16e8f574911bc1c2fc7b4fe2e2b8fa4fe04e1c13.jpg,1404576000,1411318800,2049218,78630,11844129,255921,5,180.0,www.bilibili.com,0.06238603591918945,"['搞笑', '校园', '少女', '漫画改', '恋爱']",9.8,22808人评
26308,4762754,约会大作战 第三季,全12话,1,https://www.bilibili.com/bangumi/play/ss26308,http://i0.hdslb.com/bfs/bangumi/fd61c0a8680678960446a849f2079e0de09d4290.png,1547136000,1553868033,2065327,245699,44765138,1227715,5,180.0,www.bilibili.com,0.06397700309753418,"['小说改', '萌系', '奇幻', '战斗', '魔法']",7.7,32446人评
