position,salary,company_name,city,experience,education,company_type,company_scale
Java开发工程师前端开发,4.5-6千/月,安徽寻宠传媒集团,合肥,1年经验,招1人,民营公司,150-500人
Java高级开发工程师,6-8千/月,辽宁方林装饰工程有限公司,沈阳-铁西区,3-4年经验,大专,民营公司,1000-5000人

C++/java软件开发工程师 (职位编号：A1009),1-1.5万/月,广州时维用恒计算机科技有限公司,广州-天河区,3-4年经验,本科,民营公司,少于50人
Java开发工程师-银行项目,1-1.5万/月,深圳良元信息技术有限公司,深圳,3-4年经验,本科,民营公司,500-1000人
Java开发工程师,1-1.5万/月,泉州慧霁科技有限公司,泉州,3-4年经验,大专,民营公司,50-150人
Java高级软件工程师,1-3万/月,广州市迈尔汛科技有限公司,广州-黄埔区,5-7年经验,本科,外资（非欧美）,少于50人
资深Java开发工程师-深圳 (MJ000813),2.5-5万/月,SHEIN,深圳-南山区,5-7年经验,本科,民营公司,5000-10000人
Java高级开发工程师,1.8-3万/月,深圳市博思通电脑科技开发有限公司,深圳,5-7年经验,本科,民营公司,50-150人
Java开发实习,2-4千/月,四川苏雅拉教育科技有限公司,成都-武侯区,无工作经验,大专,民营公司,150-500人
Java中级开发工程师,1-1.5万/月,广东天地合科技有限公司,广州-天河区,3-4年经验,大专,民营公司,50-150人
Java Web后台开发工程师,1.5-2万/月,深圳旭行互动科技有限公司,深圳-南山区,3-4年经验,招1人,民营公司,50-150人
Java开发工程师（深圳）,1-2万/月,广东谷通科技有限公司,深圳-南山区,2年经验,大专,民营公司,500-1000人
Java开发工程师,0.8-1.3万/月,重庆云采科技股份有限公司,重庆-南岸区,3-4年经验,大专,民营公司,50-150人
Java中高级开发工程师,1.5-2.5万/月,成都环博软件有限公司,成都-武侯区,5-7年经验,本科,上市公司,150-500人
Java开发工程师,0.6-1万/月,南通骏星信息科技有限公司,南通,2年经验,大专,民营公司,少于50人
Java高级开发工程师（五险一金 双休）,1-2万/月,郑州优碧科技有限公司,郑州-郑东新区,5-7年经验,本科,民营公司,50-150人
JAVA项目经理+上市公司诚聘,6-8千/月,昆明市官渡区达内职业培训学校,昆明-呈贡区,1年经验,本科,民营公司,10000人以上
JAVA软件开发工程师-福州-00112,1-1.4万/月,北软互联（北京）科技有限公司,福州,3-4年经验,大专,民营公司,50-150人
JAVA开发工程师,1.5-2万/月,深圳市飞米机器人科技有限公司,深圳-南山区,3-4年经验,本科,民营公司,150-500人
诚聘Java高级开发工程师（上海）,0.8-1.5万/月,中科软科技股份有限公司,广州-天河区,2年经验,本科,民营公司,5000-10000人
Java开发工程师,0.8-1万/月,瑞泰信息技术有限公司,苏州,3-4年经验,本科,民营公司,150-500人
Java高级开发工程师,1.2-2.4万/月,易宝软件科技（南京）有限公司,南京-雨花台区,5-7年经验,招5人,民营公司,1000-5000人
Java开发工程师,1.2-2.4万/月,浙江连信科技有限公司,杭州-滨江区,3-4年经验,大专,民营公司,50-150人
JAVA高级开发工程师（珠海）,15-20万/年,同望科技股份有限公司,珠海,3-4年经验,本科,民营公司,500-1000人
Java架构师,1.5-2.5万/月,长威信息科技发展股份有限公司,福州,5-7年经验,本科,民营公司,500-1000人
Java开发工程师,0.8-1万/月,广州千牵科技有限公司,广州-天河区,1年经验,本科,合资,150-500人
java/net/php工程师,4-8千/月,慈溪市顺通网络技术有限公司,宁波-慈溪市,1年经验,大专,民营公司,少于50人
项目经理（软件研发类、Java）,0.6-1万/月,江西卓讯信息技术有限公司,南昌-红谷滩新区,3-4年经验,本科,民营公司,50-150人
JAVA软件工程师,0.5-1万/月,广东彩立方科技有限公司,江门,1年经验,本科,民营公司,150-500人
JAVA开发工程师,1-2万/月,上海百胜软件股份有限公司,上海,3-4年经验,大专,上市公司,500-1000人
Java高级开发工程师,0.6-1万/月,深圳市飞思捷跃科技有限公司,柳州,3-4年经验,大专,民营公司,少于50人
高级Java架构师,1.5-3万/月,上海圆球网络科技有限公司,上海-浦东新区,5-7年经验,大专,民营公司,少于50人
JAVA高级开发工程师,0.8-1.2万/月,江苏葡萄信息科技有限公司,无锡-滨湖区,5-7年经验,大专,民营公司,少于50人
Java高级开发工程师,1.5-2万/月,广州六顺生物科技股份有限公司,广州-黄埔区,3-4年经验,大专,民营公司,50-150人
Java开发人员（长期驻外）,1-1.5万/月,信息技术力量（成都）有限公司,昆明-官渡区,3-4年经验,大专,外资（非欧美）,50-150人
Java开发工程师,0.6-1万/月,苏州瑞畅信息技术有限公司,常熟,2年经验,本科,民营公司,少于50人
Java开发工程师,0.8-1.5万/月,上海博科资讯股份有限公司,雄安新区,1年经验,本科,合资,1000-5000人
中级JAVA开发工程师,6-9千/月,云南信和科技有限公司,昆明-五华区,2年经验,大专,民营公司,50-150人
Java高��开发工程师,1-1.5万/月,日腾电脑配件（上海）有限公司,上海-松江区,无工作经验,招4人,外资（非欧美）,10000人以上
Java开发工程师,5-8千/月,泰州市创新电子有限公司,泰州,3-4年经验,本科,民营公司,1000-5000人
Java开发主管,2-2.5万/月,深圳市胜源泉企业管理咨询有限公司,广州-天河区,5-7年经验,本科,民营公司,50-150人
JAVA游戏后台开发工程师,1.5-2万/月,广州炫成科技有限公司,广州-天河区,2年经验,大专,民营公司,50-150人
Java开发工程师,6-8千/月,西安米旗食品有限公司,西安-未央区,3-4年经验,大专,民营公司,1000-5000人
JAVA 软件工程师 (职位编号：5),0.6-1万/月,太原易思软件技术有限公司,太原,3-4年经验,招3人,民营公司,50-150人
java教员,0.8-1万/月,杭州杭苑网络科技有限公司,杭州-江干区,无工作经验,大专,民营公司,150-500人
JAVA开发经理,3-3.5万/月,德基集团有限公司,南京-玄武区,5-7年经验,本科,外资（非欧美）,150-500人
java开发工程师js,0.9-1.6万/月,深圳市安车检测股份有限公司,济南,3-4年经验,本科,上市公司,500-1000人
Java开发工程师,6-8千/月,南京市如益健康科技有限公司,南京-鼓楼区,无工作经验,招1人,民营公司,150-500人
Java初级开发工程师,4.5-6千/月,山东中达信通智能科技有限公司,青岛-市北区,无工作经验,大专,民营公司,150-500人
Java后台开发工程师,1.5-2万/月,深圳市行天智能工业科技有限公司,深圳-龙岗区,5-7年经验,本科,民营公司,少于50人
java软件开发工程师,0.8-1.5万/月,湖南省小溪云信息科技有限公司,长沙-雨花区,3-4年经验,大专,民营公司,50-150人
Java开发工程师,0.8-1.5万/月,深圳市宇达计算机有限公司,深圳-南山区,1年经验,大专,民营公司,50-150人
(急)Java架构师(云平台),1.8-2.5万/月,广州恒利信息科技有限公司,广州,8-9年经验,本科,合资,150-500人
Java软件工程师,5-9千/月,深圳特发东智科技有限公司,深圳-龙岗区,2年经验,大专,民营公司,1000-5000人
Java开发主管,1.5-2万/月,深圳市一生教育网络科技有限公司,深圳-罗湖区,5-7年经验,本科,民营公司,少于50人
Java中级开发工程师,1-1.5万/月,江西腾飞网络技术有限公司,长沙-芙蓉区,3-4年经验,大专,民营公司,500-1000人
Java开发工程师,1.5-2万/月,南京开为网络科技有限公司,南京-建邺区,5-7年经验,本科,民营公司,50-150人
Java WEB研发工程师,0.8-1.5万/月,上海致昕信息科技有限公司,深圳,3-4年经验,本科,民营公司,50-150人
Java开发工程师,1-2万/月,广州锐迪医疗仪器有限公司,广州,2年经验,本科,民营公司,少于50人
Java开发经理,1.5-2万/月,国安较真（广东）科技有限公司,广州-黄埔区,5-7年经验,大专,民营公司,50-150人
Java高级开发工程师,1-1.8万/月,宁波海大物联科技有限公司,南京,3-4年经验,本科,民营公司,50-150人
JAVA高级软件开发工程师,0.6-1.2万/月,河南盘古科技发展有限公司,郑州-金水区,5-7年经验,大专,民营公司,50-150人
Java高级开发工程师,0.8-2万/月,武汉微诚科技股份有限公司,武汉-洪山区,8-9年经验,本科,民营公司,50-150人
Java游戏服务器开发,0.8-1.8万/月,广州塘游网络科技有限公司,广州-天河区,2年经验,大专,民营公司,50-150人
JAVA软件工程师,0.8-1.2万/月,重庆盛捷高科技有限公司,重庆-南岸区,5-7年经验,大专,民营公司,少于50人
Java开发工程师,0.8-1万/月,慧俊信息科技（上海）有限公司,上海-静安区,无工作经验,招5人,民营公司,少于50人
JAVA中/高级开发工程师,1-1.5万/月,厦门斑马定制科技有限公司,厦门,3-4年经验,本科,民营公司,50-150人
高薪+Java开发工程师后端,1-1.8万/月,安徽开得久网络科技有限公司,合肥-滨湖新区,3-4年经验,大专,民营公司,50-150人
Java开发工程师,0.7-1.2万/月,广州诗尼曼家居股份有限公司,广州,2年经验,本科,民营公司,1000-5000人
Java开发工程师,2.5-5万/月,广州鲸娱手游科技有限公司,广州-天河区,5-7年经验,大专,民营公司,50-150人
java工程师,5-9千/月,福州富昌维控电子科技有限公司,福州-鼓楼区,无工作经验,本科,民营公司,150-500人
Java开发工程师,1.5-2万/月,上海智租物流科技有限公司,上海-闵行区,3-4年经验,本科,民营公司,50-150人
Java初级开发工程师,6-8千/月,青岛乾�Z昶盛信息服务有限公司,青岛-市北区,1年经验,大专,民营公司,150-500人
Java开发工程师,1.5-2.5万/月,杭州构家网络科技有限公司,杭州-拱墅区,3-4年经验,本科,民营公司,150-500人
java+大数据开发实习生,6-8千/月,中软博创（北京）科技有限公司,北京-海淀区,无工作经验,大专,民营公司,50-150人
Java高级开发工程师,0.8-1万/月,上海品宅装饰科技有限公司,上海-徐汇区,2年经验,本科,民营公司,50-150人
Java web 工程师,1-1.5万/月,深圳市瑞沃智能科技有限公司,深圳,2年经验,本科,民营公司,150-500人
JAVA大数据开发助理,0.7-1.2万/月,河南博堂电子科技有限公司,郑州-二七区,1年经验,大专,民营公司,50-150人
高级JAVA后端开发工程师,5-8千/月,广东九航贸易有限公司,广州-白云区,2年经验,本科,民营公司,150-500人
Java开发工程师,1.5-2万/月,深圳市爱租机科技有限公司,深圳-南山区,5-7年经验,大专,民营公司,150-500人
JAVA系统工程师/助理,4-8千/月,深圳市越鸿科技有限公司,深圳-龙华新区,1年经验,大专,民营公司,
java开发实习生,4.5-6千/月,重庆快单网络科技有限公司,重庆-九龙坡区,无工作经验,大专,民营公司,少于50人
Java中级开发工程师,1-1.5万/月,湖州市数字惠民科技有限公司,湖州,3-4年经验,本科,民营公司,少于50人
高薪聘-Java高级软件工程师,1-1.5万/月,山东鼎信网络科技有限公司,烟台,3-4年经验,大专,民营公司,150-500人
高级java软件工程师（对日）,1.5-2万/月,大连腾微传媒有限公司,大连-中山区,无工作经验,本科,民营公司,150-500人
Java开发经理,1.2-2万/月,家巴啦社区网络科技（佛山）有限公司,佛山-顺德区,3-4年经验,大专,民营公司,少于50人
Java中级工程师,6-8千/月,昆明原始人科技有限公司,昆明-盘龙区,2年经验,招若干人,民营公司,少于50人
Java开发工程师,0.7-1.5万/月,北京源通电力科技有限公司,济南-市中区,3-4年经验,招5人,民营公司,150-500人
Java高级开发工程师,1.2-1.8万/月,深圳市科讯数码有限公司,广州-天河区,3-4年经验,大专,民营公司,50-150人
初级java开发工程师(提供住宿),4.5-6千/月,中联高科（大连）实业有限公司,大连-高新园区,无工作经验,大专,民营公司,少于50人
Java高级开发工程师,20-30万/年,宁波鑫义信息科技有限公司,宁波,5-7年经验,本科,民营公司,50-150人
Java架构师,1.5-3万/月,广州纳海川科技有限公司,广州-天河区,5-7年经验,本科,民营公司,50-150人
Java软件开发（应届生）,4-5.5千/月,山东舜德数据管理软件工程有限公司,济南,无工作经验,本科,民营公司,150-500人
java,1-1.5万/月,北京河马新车科技有限公司,北京-朝阳区,2年经验,大专,民营公司,500-1000人
Java、Android开发工程师,0.8-1万/月,山东麦德森文化传媒有限公司,济南-历下区,无工作经验,招1人,民营公司,150-500人
Java中高级开发工程师,1.3-1.8万/月,广东明世教育集团有限公司,广州-番禺区,3-4年经验,本科,民营公司,1000-5000人
Java开发工程师,0.7-1万/月,珠海两码事信息技术有限公司,珠海,2年经验,大专,民营公司,少于50人
初级JAVA开发工程师(代招),6-8千/月,安徽辉采科技有限公司,合肥-经开区,1年经验,大专,民营公司,50-150人
Java开发工程师,5-8千/月,福建民本信息科技有限公司,福州-仓山区,1年经验,招若干人,民营公司,150-500人
Java开发工程师,0.6-1万/月,大乘汽车有限公司,常州-金坛区,2年经验,大专,民营公司,1000-5000人
Java开发工程师,0.8-1.2万/月,徐州瑞马智能技术有限公司,徐州,5-7年经验,本科,民营公司,1000-5000人
Java开发工程师 (职位编号：05),2.3-5万/月,杭州强港实业有限公司,杭州-余杭区,5-7年经验,本科,民营公司,50-150人
高级JAVA研发工程师,15-20万/年,浙江风云文化传媒有限公司,湖州,5-7年经验,大专,民营公司,少于50人
java开发工程师初级,4.5-6千/月,山东博勤信息科技有限公司,济南-高新区,无工作经验,大专,民营公司,50-150人
Java开发工程师,1-1.5万/月,湖南六星教育网络科技有限公司,长沙-岳麓区,3-4年经验,大专,民营公司,50-150人
Java高级开发工程师,1-1.5万/月,南京感动科技有限公司,南京-秦淮区,3-4年经验,本科,国企,50-150人
Java开发实习生,4-6千/月,成都磊数科技有限公司,成都-成华区,无工作经验,招1人,民营公司,50-150人
JAVA开发工程师,10-18万/年,东莞数汇大数据有限公司,东莞,3-4年经验,本科,国企,少于50人
Java中级开发工程师,1-1.5万/月,北京华泰安信科技有限公司,北京-海淀区,3-4年经验,大专,民营公司,少于50人
Java高级开发工程师,30-40万/年,北京亮城科技有限公司,青岛-崂山区,无工作经验,招3人,民营公司,少于50人
Android ----Java工程师 (职位编号：1),8-25万/年,北京虹保世纪科技有限公司,苏州-高新区,2年经验,本科,外资（非欧美）,500-1000人
Java开发工程师,4-8千/月,嘉兴微方软件技术有限公司,嘉兴,1年经验,本科,民营公司,少于50人
Java高级开发工程师,1.5-2万/月,广州盛恒软件科技开发有限公司,广州-番禺区,3-4年经验,大专,民营公司,少于50人
Java开发工程师,1-1.6万/月,湖北享七网络科技有限公司,武汉-洪山区,3-4年经验,招1人,民营公司,150-500人
Java开发经理,1.5-2万/月,江苏金太阳纺织科技股份有限公司,南通,3-4年经验,本科,民营公司,150-500人
软件开发工程师（java）,1.5-2万/月,国动网络技术有限公司,上海-静安区,3-4年经验,本科,民营公司,150-500人
Java开发工程师 (职位编号：NH002),1.5-2万/月,汇才保险代理（深圳）有限公司,深圳-罗湖区,3-4年经验,本科,外资（非欧美）,500-1000人
Java开发工程师（2020届管培生）,0.8-1.6万/月,新康众集团,杭州,无工作经验,本科,合资,5000-10000人
Java开发工程师,0.5-1万/月,用友网络科技股份有限公司苏中区域公司,南通,2年经验,本科,上市公司,10000人以上
Java开发工程师,0.6-1.2万/月,郑州辅臣信息技术有限公司,郑州-金水区,1年经验,大专,民营公司,少于50人
Java技术总监,1-2万/月,广州达人邦信息科技有限公司,广州-番禺区,8-9年经验,本科,民营公司,50-150人
Java高级开发工程师,0.6-1.5万/月,武汉鑫华都网络科技有限公司,武汉-江夏区,3-4年经验,本科,民营公司,少于50人
JAVA开发工程师,10-15万/年,遨森电子商务股份有限公司,宁波-镇海区,3-4年经验,本科,民营公司,150-500人
Java开发工程师,1.5-2万/月,深圳市韩一国际物流有限公司,深圳-宝安区,3-4年经验,本科,民营公司,少于50人
Java开发工程师,0.8-1.5万/月,南京汉隆科技有限公司,南京-雨花台区,2年经验,本科,民营公司,50-150人
JAVA后端开发工程师,0.8-1万/月,浙江同兴技术股份有限公司,杭州-滨江区,3-4年经验,本科,民营公司,50-150人
Java架构师,2.5-3万/月,深圳途顺高新科技有限公司,深圳-福田区,8-9年经验,本科,民营公司,少于50人
Java高级开发工程师,1.5-2万/月,杭州宗盛智能科技有限公司,杭州,3-4年经验,本科,民营公司,150-500人
Java讲师,0.8-1万/月,成都知了汇智科技有限公司,成都,无工作经验,招1人,民营公司,少于50人
Java开发工程师,0.8-1万/月,兰州领新网络信息科技有限公司,兰州,3-4年经验,大专,民营公司,50-150人
Java开发工程师,1-1.5万/月,宁波小匠物联网科技有限公司,宁波-鄞州区,3-4年经验,本科,民营公司,少于50人
高级Java工程师,1.6-2万/月,广东锐博天成信息科技有限公司,广州-天河区,无工作经验,招若干人,民营公司,500-1000人
JAVA软件工程师（Activiti）,1-1.5万/月,江苏奇崛信息科技有限公司,南京-雨花台区,无工作经验,招2人,民营公司,少于50人
JAVA开发工程师,6-8千/月,上海市民信箱信息服务有限公司,上海-静安区,无工作经验,招若干人,国企,50-150人
Java工程师,6-8千/月,阳光雨露信息技术服务（北京）有限公司,合肥-经开区,无工作经验,本科,合资,1000-5000人
java后台高级开发工程师,2-2.5万/月,深圳市聚美通道互联网科技有限公司,深圳-福田区,5-7年经验,本科,民营公司,少于50人
Java高级开发工程师,1.5-2万/月,深圳市领湛网络科技有限公司,深圳-龙华新区,3-4年经验,大专,民营公司,50-150人
Java后台开发工程师,1-1.5万/月,上海化及豚鱼教育科技有限公司,上海,1年经验,本科,民营公司,少于50人
Java中级开发工程师,1-2万/月,深圳市伊尚智能运动有限公司,深圳-龙华新区,3-4年经验,大专,民营公司,50-150人
Java游戏服务端资深开发,2-3万/月,上海易娱网络科技有限公司广州分公司,广州-天河区,3-4年经验,大专,民营公司,150-500人
PHP/JAVA服务端 研发工程师,0.8-1万/月,启东市中孚智通信息科技有限公司,武汉-武汉经济开发区,2年经验,本科,民营公司,少于50人
Java开发工程师,1.2-1.8万/月,深圳市仁清卓越投资有限公司,深圳-南山区,2年经验,大专,民营公司,150-500人
Java开发工程师,1-1.5万/月,深圳市汇星数字技术有限公司,深圳-南山区,2年经验,本科,民营公司,150-500人
Java服务端主程,2-3万/月,广州麟龙信息技术有限公司,广州-天河区,3-4年经验,大专,民营公司,50-150人
Java开发工程师,0.6-1.2万/月,昆明美光科技有限公司,昆明-五华区,3-4年经验,本科,民营公司,少于50人
Java开发工程师,1-1.5万/月,南京矩食电子商务有限公司,南京-雨花台区,无工作经验,招1人,创业公司,少于50人
后端JAVA工程师,0.7-1.2万/月,中粤（广东）创业投资有限公司,广州-天河区,2年经验,大专,民营公司,少于50人
Java高级开发工程师,1-1.2万/月,澳优乳业（中国）有限公司-美纳多事业部,长沙-开福区,无工作经验,本科,合资,500-1000人
Java高级开发工程师,1.5-2万/月,广州连横科技有限责任公司,广州-黄埔区,5-7年经验,本科,民营公司,50-150人
Java高级开发工程师,1-3万/月,上海梦创双杨数据科技股份有限公司,成都-锦江区,3-4年经验,本科,民营公司,500-1000人
Java高级开发工程师,1-1.5万/月,广西国彩合盈信息技术有限公司,南宁,3-4年经验,大专,民营公司,少于50人
JAVA软件工程师,1.5-2万/月,天地伟业技术有限公司,天津,3-4年经验,本科,民营公司,500-1000人
Java高级开发工程师,0.7-1.2万/月,武汉美之修行信息科技有限公司,武汉-东湖新技术产业开发区,3-4年经验,大专,民营公司,50-150人
高级JAVA开发工程师,0.5-1.5万/月,东莞市天台电子有限公司,东莞,2年经验,大专,民营公司,150-500人
Java开发工程师,0.7-1.2万/月,南京君灿信息技术有限公司,苏州-吴江区,3-4年经验,本科,民营公司,50-150人
高级Java开发工程师,1.5-2.5万/月,深圳市同为数码科技股份有限公司,深圳-南山区,5-7年经验,本科,民营公司,1000-5000人
Java开发工程师,6-8千/月,浙江易铖信息科技有限公司,杭州-江干区,3-4年经验,大专,民营公司,少于50人
Java开发工程师,1-1.5万/月,珠海思格特智能系统有限公司,珠海-金湾区,3-4年经验,大专,民营公司,少于50人
资深Java讲师+双休五险,1-1.5万/月,郑州科思沃斯教育科技有限公司,郑州-金水区,3-4年经验,本科,民营公司,150-500人
Java软件工程师,4-7千/月,广东迪浪科技股份有限公司,阳江,无工作经验,大专,民营公司,50-150人
Java开发工程师,0.8-1.2万/月,东莞维科电池有限公司,东莞-横沥镇,3-4年经验,大专,上市公司,500-1000人
JAVA 软件工程师（一定会安卓）,6-8千/月,广州智普达智能科技有限公司,广州-天河区,3-4年经验,大专,民营公司,少于50人
Java开发实习生,6-8千/月,深圳市陵欣科技有限公司,深圳-龙华新区,无工作经验,大专,民营公司,50-150人
Java中级开发工程师,5.5-7千/月,广州颜如玉生物科技有限公司,广州-天河区,2年经验,大专,民营公司,150-500人
JAVA开发工程师（中高级）,0.6-1.5万/月,石家庄龙汇科技有限公司,石家庄,5-7年经验,大专,民营公司,少于50人
JAVA开发高级担当,1-1.5万/月,三艾人才咨询（上海）有限公司,上海-静安区,5-7年经验,本科,外资（非欧美）,少于50人
中级JAVA工程师,0.9-1.3万/月,广州帝隆科技股份有限公司,广州,3-4年经验,本科,上市公司,150-500人
JAVA初级开发工程师,4-6千/月,云南软捷科技有限公司,昆明,无工作经验,中专,民营公司,50-150人
Java开发工程师,1-1.4万/月,上海易立德信息技术股份有限公司,广州,3-4年经验,大专,民营公司,1000-5000人
JAVA高级软件开发工程师,0.8-1.5万/月,南京品德科技有限责任公司,南京-雨花台区,3-4年经验,大专,民营公司,50-150人
Java开发工程师+五险高薪,0.7-1.2万/月,济南海息信息科技有限公司,济南-市中区,2年经验,大专,民营公司,少于50人
Java高级开发工程师,0.8-1万/月,武汉志嘉伟业科技有限公司,武汉-武昌区,3-4年经验,大专,合资,5000-10000人
JAVA高级工程师,0.8-1.5万/月,武汉雕龙医疗数据服务股份有限公司,武汉-洪山区,无工作经验,本科,民营公司,50-150人
JAVA工程师,1-1.5万/月,成都宝沣科技有限公司,成都-高新区,3-4年经验,大专,民营公司,50-150人
Java高级开发工程师,1-1.6万/月,湖南草花互动网络科技有限公司,长沙,3-4年经验,大专,民营公司,150-500人
Java 研发工程师,1.2-2万/月,杭州沃趣科技股份有限公司,杭州-滨江区,2年经验,本科,民营公司,50-150人
Java开发实习生,3-4千/月,广州飞进信息科技有限公司,广州-天河区,无工作经验,本科,民营公司,少于50人
高级JAVA工程师,1.5-2.5万/月,广东掏淘市网络服务有限公司,东莞-南城区,5-7年经验,本科,民营公司,少于50人
Java开发工程师,0.6-1.2万/月,湖南中德安普云瞻智审有限公司,长沙-天心区,3-4年经验,大专,民营公司,50-150人
Java开发工程师,0.8-1.2万/月,东莞市以纯集团有限公司,东莞-虎门镇,2年经验,大专,民营公司,10000人以上
Java资深开发工程师（运满满）,3-4万/月,上海细微信息咨询有限公司,南京-雨花台区,无工作经验,招2人,民营公司,1000-5000人
Java高级工程师,1-1.5万/月,常州思瑞科信息科技有限公司,常州,5-7年经验,大专,民营公司,50-150人
Java开发工程师,0.6-1.2万/月,上海鼎格信息科技有限公司,无锡-惠山区,2年经验,本科,民营公司,少于50人
对日java开发工程师,8-10万/年,大连瑞欣源科技有限公司,大连-沙河口区,无工作经验,招6人,民营公司,50-150人
Java高级开发工程师,1.2-1.8万/月,广东全朗教育信息科技有限公司,广州-番禺区,3-4年经验,本科,民营公司,150-500人
Java高级开发工程师,1.1-1.8万/月,广州九久云信息安全科技有限公司,广州-海珠区,3-4年经验,大专,民营公司,少于50人
后端JAVA开发,0.9-1.5万/月,广州同望科技发展有限公司,佛山-顺德区,3-4年经验,大专,民营公司,150-500人
Java高级工程师/周末双休/五险一金/弹性上班,1.5-2万/月,武汉乐享创梦科技有限公司,武汉-洪山区,5-7年经验,本科,民营公司,少于50人
JAVA架构师,2-3万/月,杭州大恩物联科技有限公司,杭州,3-4年经验,大专,民营公司,150-500人
Java技术经理,2.5-3.5万/月,河姆渡电子商务有限公司,上海-浦东新区,8-9年经验,本科,民营公司,500-1000人
java软件工程师,0.8-1万/月,武汉骏途网络科技有限公司,武汉,1年经验,本科,民营公司,少于50人
Java开发工程师,0.8-1万/月,迈安德集团有限公司,扬州,无工作经验,本科,民营公司,500-1000人
高级JAVA工程师,2-4万/月,上海怡同信息科技有限公司,上海-杨浦区,5-7年经验,本科,民营公司,50-150人
Java开发工程师,5-7千/月,福建浩凡网络科技有限公司,福州,无工作经验,招若干人,民营公司,500-1000人
Java服务器,0.5-1万/月,上海箭塔互娱网络科技有限公司,广州,1年经验,本科,民营公司,50-150人
java/测试讲师,0.7-1.1万/月,杭州才谷房企业管理咨询有限公司,襄阳,无工作经验,招2人,民营公司,少于50人
Java开发工程师,0.7-1万/月,山东望天信息科技有限公司,济南-历下区,2年经验,大专,民营公司,50-150人
Java高级开发工程师,1-1.5万/月,广州星唯信息科技有限公司,广州,3-4年经验,本科,民营公司,150-500人
Java初级开发工程师,0.8-1万/月,北京旭豪科技有限公司,北京-海淀区,1年经验,大专,民营公司,150-500人
JAVA工程师(东莞塘厦工作，免费提供食宿）,1-1.5万/月,东莞市奥海科技股份有限公司,东莞-塘厦镇,3-4年经验,大专,民营公司,1000-5000人
Java高级开发工程师,1-1.5万/月,深圳市智能体科技有限公司,深圳-南山区,3-4年经验,本科,民营公司,少于50人
Java开发工程师（中高级）,1-1.5万/月,恒洁集团,佛山,无工作经验,大专,民营公司,1000-5000人
Java开发工程师,0.8-1.2万/月,广州市鹤驰信息科技有限公司,福州-台江区,3-4年经验,大专,民营公司,少于50人
Java服务端开发工程师（北京）,1.5-2.5万/月,福州龙腾简合网络技术有限公司,北京-朝阳区,2年经验,招1人,民营公司,500-1000人
Java中级开发工程师,1-1.8万/月,杭州伊美源实业有限公司,杭州-下城区,2年经验,本科,民营公司,500-1000人
应用软件工程师(java工程师),0.8-1.6万/月,深圳友讯达科技股份有限公司,西安-碑林区,5-7年经验,本科,上市公司,1000-5000人
Java高级开发工程师,2-3万/月,浙江老东家装饰工程有限公司,杭州-余杭区,5-7年经验,大专,民营公司,50-150人
Java开发工程师,1-1.8万/月,深圳市一览网络股份有限公司,深圳,无工作经验,本科,民营公司,500-1000人
JAVA架构师,2-3.5万/月,杭州涂鸦信息技术有限公司,杭州-西湖区,5-7年经验,本科,民营公司,1000-5000人
高级Java工程师,2-2.5万/月,广州细刻网络科技有限公司,广州-天河区,3-4年经验,本科,民营公司,500-1000人
Java高级开发工程师,2.5-5万/月,广州艺诺互娱科技有限公司,广州-海珠区,3-4年经验,大专,民营公司,150-500人
Java开发工程师,0.8-1.2万/月,上海叶隆之尚汽车销售有限公司,上海-嘉定区,1年经验,大专,民营公司,150-500人
Java工程师（电商）,1.5-2.5万/月,深圳市比一比网络科技有限公司,深圳-南山区,5-7年经验,本科,民营公司,50-150人
Java开发工程师,0.8-1万/月,合华生物科技（杭州）有限公司,杭州-江干区,2年经验,本科,合资,50-150人
Java开发工程师,0.8-1.5万/月,深圳市海和科技股份有限公司,深圳-龙岗区,3-4年经验,大专,民营公司,500-1000人
Java开发工程师,1.5-2万/月,深圳市福特智能科技有限公司,深圳-龙华新区,无工作经验,招若干人,民营公司,50-150人
高级JAVA工程师（Web后端),1.5-2万/月,江苏领焰智能科技股份有限公司,上海-闵行区,3-4年经验,大专,民营公司,50-150人
Java开发工程师,1.2-2.4万/月,广州逐鹿网络信息开发有限公司,广州-番禺区,3-4年经验,本科,民营公司,50-150人
Java开发工程师,1.5-2万/月,深圳市阳光百度生物科技发展有限公司,深圳,3-4年经验,本科,民营公司,150-500人
Java开发工程师,0.7-1.5万/月,无锡淘金智能科技有限公司,无锡-无锡新区,2年经验,大专,民营公司,少于50人
Java开发工程师,0.8-1.5万/月,深圳市发掘科技有限公司,深圳-宝安区,3-4年经验,本科,民营公司,50-150人
Java开发工程师,7-9千/月,黑龙江惠农信息技术服务有限公司,哈尔滨-松北区,无工作经验,招1人,民营公司,50-150人
外企招Java/.Net开发工程师-医疗系统,1-1.5万/月,宁波守仁文化传播有限公司,上海-浦东新区,1年经验,本科,外资（非欧美）,150-500人
Java工程师,1.5-2万/月,深圳市亚优特科技有限公司,深圳-罗湖区,2年经验,大专,民营公司,150-500人
Java高级开发工程师（微服务）,0.8-1.3万/月,广州市西美信息科技有限公司,广州,2年经验,大专,民营公司,50-150人
Java开发工程师,0.7-1.1万/月,优鲜供应链有限公司,菏泽,5-7年经验,大专,民营公司,150-500人
Java开发工程师,0.6-1.2万/月,宁波舜宇智能科技有限公司,宁波-余姚市,无工作经验,招4人,民营公司,150-500人
