position,salary,company_name,city,experience,education,company_type,company_scale
java中高级开发工程师（南网数研院）,1-2万/月,拓尔思信息技术股份有限公司广州分公司,广州-黄埔区,3-4年经验,本科,上市公司,1000-5000人
Java高级开发工程师,1.5-2.5万/月,上海天正软件有限公司,苏州,5-7年经验,本科,民营公司,500-1000人
JAVA开发工程师 (职位编号：014),6-8千/月,天津聪友科技有限公司,天津-红桥区,无工作经验,大专,民营公司,50-150人
Java前端开发工程师,6-8千/月,广州华央电子科技有限公司,广州-黄埔区,无工作经验,招若干人,民营公司,500-1000人
Java首席架构师,2-4.5万/月,深圳市中正国际物流有限公司,深圳,5-7年经验,本科,民营公司,150-500人
高级Java开发工程师（CRM）,1.8-2.5万/月,上海长量基金销售有限公司,上海,5-7年经验,本科,民营公司,50-150人
高级JAVA开发工程师（研发中心）,1.5-2万/月,广州亿程交通信息集团有限公司,广州-天河区,5-7年经验,本科,上市公司,1000-5000人
Java开发工程师 (职位编号：H011),1.5-2万/月,仕点智能科技（上海）有限公司,上海-徐汇区,3-4年经验,本科,合资,少于50人
Java开发工程师,0.8-1.2万/月,泸州义四海网络科技有限公司,重庆-江北区,3-4年经验,大专,民营公司,50-150人
高级Java运维工程师,1.8-3万/月,上海芯港信息科技有限责任公司,上海-长宁区,8-9年经验,招1人,民营公司,150-500人
Java开发工程师,0.8-1万/月,江苏吉天科技有限公司,无锡-滨湖区,2年经验,本科,民营公司,少于50人
Java高级开发工程师,2-3万/月,拉卡拉支付集团,上海-浦东新区,3-4年经验,本科,合资,1000-5000人
Java软件工程师,10-30万/年,辽宁骐迹科技有限公司,沈阳-和平区,无工作经验,招2人,民营公司,少于50人
JAVA开发工程师,1.5-2万/月,南京绿点信息科技有限公司,合肥-庐阳区,3-4年经验,本科,民营公司,少于50人
Java开发工程师,0.8-1.3万/月,上海汉朔信息科技有限公司,上海-浦东新区,2年经验,本科,民营公司,150-500人
java工程师（接受应往届）,6-8千/月,武汉天亿思网络科技有限公司,武汉-洪山区,无工作经验,招若干人,民营公司,150-500人
Java高级开发工程师,2-2.5万/月,上海鹰速国际货物运输有限公司,上海-宝山区,5-7年经验,本科,民营公司,150-500人
Java高级开发工程师,1.3-1.8万/月,上海天好信息技术股份有限公司,广州,无工作经验,招2人,上市公司,150-500人
Java开发实习生,3-4.5千/月,莱迪凯飒（深圳）科技有限公司,郑州-金水区,无工作经验,大专,民营公司,50-150人
JAVA 开发工程师,0.7-1万/月,苏州盈合工具有限公司,苏州-工业园区,2年经验,本科,民营公司,500-1000人
Java开发工程师,1.2-1.8万/月,深圳奥哲网络科技有限公司,成都,3-4年经验,大专,民营公司,500-1000人
Java开发工程师,0.6-1.2万/月,顺庆区新世纪培训学校,南充,无工作经验,招2人,民营公司,500-1000人
java开发工程师,6-8千/月,上海煜暖实业有限公司,上海-徐汇区,无工作经验,大专,民营公司,50-150人
Java开发工程师,2-2.5万/月,上海上美化妆品有限公司,上海-普陀区,5-7年经验,本科,民营公司,10000人以上
Java高级开发工程师,1.5-2万/月,泉后（广州）生物科技有限公司,广州-白云区,5-7年经验,大专,民营公司,500-1000人
java后端开发人员,0.8-1.2万/月,浙江我武生物科技股份有限公司,上海,无工作经验,本科,上市公司,500-1000人
高级JAVA研发工程师,1-1.5万/月,武汉方阵信息技术有限公司,武汉-东湖新技术产业开发区,5-7年经验,本科,民营公司,少于50人
Java高级开发工程师,2-2.5万/月,广东技安科技有限公司,东莞-南城区,5-7年经验,大专,民营公司,50-150人
JAVA开发工程师(J10165),0.8-1.5万/月,肇庆市现代筑美家居有限公司,肇庆,无工作经验,招3人,民营公司,5000-10000人
Java开发工程师,1.1-2万/月,深圳市前海晨供应链管理有限公司,深圳-南山区,3-4年经验,大专,民营公司,500-1000人
Java高级开发工程师,1.5-2万/月,深圳市博汇培训技术有限公司,深圳-龙岗区,5-7年经验,本科,民营公司,少于50人
Java开发工程师,0.8-1万/月,广州艾颜佳美容美发设备有限公司,广州-白云区,2年经验,大专,民营公司,150-500人
Java高级开发工程师,1-2万/月,武汉久玩电子商务有限公司,武汉-洪山区,5-7年经验,本科,民营公司,50-150人
高级JAVA工程师,0.8-1.5万/月,深圳广田方特科建集团有限公司,深圳-宝安区,5-7年经验,本科,民营公司,150-500人
Java高级开发工程师,1-1.5万/月,广东华泰教育科技股份有限公司,广州-黄埔区,2年经验,大专,民营公司,150-500人
Java 软件工程师（spring方向）,5-9千/月,惠州高视科技有限公司,惠州,1年经验,本科,民营公司,50-150人
Java架构师,2-3万/月,广东易教优培教育科技有限公司,广州-越秀区,无工作经验,本科,民营公司,150-500人
Java 高级工程师,0.7-1.2万/月,深圳市智莱科技股份有限公司,武汉,无工作经验,招10人,上市公司,1000-5000人
Java高级开发工程师,1-1.5万/月,艾尼斯控股有限公司,苏州-相城区,3-4年经验,大专,民营公司,500-1000人
