,position,salary,company_name,city,experience,education,welfare,company_type,company_scale,company_major,_id
1459,Java开发工程师,1-1.5万/月,深圳交控科技有限公司,南宁,无工作经验,本科,"五险一金,补充医疗保险,交通补贴,餐饮补贴,通讯补贴,年终奖金,定期体检,专业培训,周末双休",民营公司,150-500人,交通/运输/物流,5dc8e99b5955fa04c54b9c27
1460,Java软件工程师(高级/项目组长),1.5-3万/月,上海美嘉林软件科技股份有限公司,上海,5-7年经验,本科,"五险一金,员工旅游,餐饮补贴,年终奖金",上市公司,50-150人,计算机软件,5dc8e99c5955fa04c54b9c28
1461,月薪8000+Java开发工程师/可实习(五险一金)双休食宿,6-8千/月,成都美迪教育科技有限公司,武汉-江汉区,无工作经验,大专,"周末双休,带薪年假,五险一金,专业培训,全勤奖,节日福利,员工旅游,朝九晚六,住房补贴,加班补贴",民营公司,1000-5000人,教育/培训/院校,5dc8e99e5955fa04c54b9c29
1462,Java后端开发工程师,1.5-2万/月,微企智联科技（广州）有限公司,广州-黄埔区,3-4年经验,本科,"五险一金,绩效奖金,年终奖金,股票期权,弹性工作,定期体检,周末双休,下午茶零食,8090团队,朝九晚六",民营公司,少于50人,计算机软件,5dc8e99f5955fa04c54b9c2a
1463,Java开发工程师,0.6-1万/月,成都高新区人力资源协会,成都-高新区,2年经验,本科,"五险一金,补充医疗保险,年终奖金,定期体检,交通补贴,餐饮补贴,通讯补贴,弹性工作,带薪年假,住房补贴",非营利组织,少于50人,专业服务(咨询、人力资源、财会),5dc8e9a05955fa04c54b9c2b
1464,Java开发工程师,0.6-1.2万/月,西安东风机电股份有限公司,西安-雁塔区,2年经验,大专,"五险一金,餐饮补贴,交通补贴,绩效奖金,定期体检,免费班车,员工旅游,专业培训,上五休二,节日福利",民营公司,150-500人,仪器仪表/工业自动化,5dc8e9a15955fa04c54b9c2c
1465,Java开发工程师,1-1.5万/月,广东泓胜科技股份有限公司,佛山-南海区,3-4年经验,本科,"周末双休,五险一金,包吃工作餐,住房补贴,员工旅游,定期体检,年终奖金,带薪年假",民营公司,50-150人,计算机软件,5dc8e9a25955fa04c54b9c2d
1466,Java开发工程师,1.5-2万/月,杭州英乔企业管理咨询有限公司,杭州-萧山区,3-4年经验,大专,"做五休二,周末双休,节日福利,五险一金,年终奖金",民营公司,少于50人,专业服务(咨询、人力资源、财会),5dc8e9a35955fa04c54b9c2e
1467,Java高级开发工程师,2-3万/月,易居企业（中国）集团有限公司,上海-静安区,3-4年经验,本科,"五险一金,专业培训,绩效奖金,年终奖金,弹性工作,定期体检,通讯补贴,员工旅游,出国机会,福利待遇好",民营公司,1000-5000人,房地产,5dc8e9a45955fa04c54b9c2f
1468,Java开发工程师,1.5-2.5万/月,深圳市谷咖企业管理咨询有限公司广州分公司,广州-黄埔区,3-4年经验,本科,,民营公司,少于50人,电子技术/半导体/集成电路,5dc8e9a55955fa04c54b9c30
1469,Java工程师-信息技术-产品三部,0.8-1.5万/月,北京神州泰岳软件股份有限公司,重庆,2年经验,本科,"五险一金,定期体检,餐饮补贴,补充医疗保险,绩效奖金,年终奖金,股票期权,员工旅游",上市公司,1000-5000人,计算机软件,5dc8e9a65955fa04c54b9c31
1470,java工程师,0.7-1万/月,北京聚利科技股份有限公司,北京-昌平区,1年经验,大专,"五险一金,绩效奖金,免费午餐,带薪年假,节日福利,全勤奖,加班补贴,低价宿舍",民营公司,500-1000人,电子技术/半导体/集成电路,5dc8e9a75955fa04c54b9c32
1471,Java开发工程师,1-1.5万/月,深圳泰首智能技术有限公司,深圳-南山区,3-4年经验,本科,,民营公司,50-150人,计算机软件,5dc8e9a85955fa04c54b9c33
1472,Java/scala开发工程师,1.5-2.5万/月,上海擎创信息技术有限公司,上海-浦东新区,3-4年经验,本科,,民营公司,150-500人,计算机软件,5dc8e9a95955fa04c54b9c34
1473,Java开发工程师助理,0.7-1.2万/月,OPPO,深圳-南山区,2年经验,本科,"五险一金,免费班车,员工旅游,餐饮补贴,出国机会,绩效奖金,定期体检,补充医疗保险,补充公积金",合资,10000人以上,通信/电信运营、增值服务,5dc8e9ab5955fa04c54b9c35
1474,Java系统架构师,1.5-2.5万/月,广东星舆科技有限公司,广州-天河区,5-7年经验,本科,"五险一金,绩效奖金,年终奖金,股票期权",国企,150-500人,互联网/电子商务,5dc8e9ac5955fa04c54b9c36
1475,JAVA开发工程师,0.8-1万/月,长沙军民先进技术研究有限公司,长沙-开福区,3-4年经验,本科,,国企,50-150人,计算机软件,5dc8e9ad5955fa04c54b9c37
1476,Java开发工程师,2-2.5万/月,杭州沐泊科技有限公司,杭州,5-7年经验,本科,"做五休二,周末双休,五险一金,绩效奖金,餐饮补贴,加班补贴,住房补贴,节日福利,交通补贴,通讯补贴",民营公司,50-150人,专业服务(咨询、人力资源、财会),5dc8e9ae5955fa04c54b9c38
1477,Java开发工程师,8-15万/年,金发科技股份有限公司,广州,2年经验,本科,"五险一金,免费班车,员工旅游,专业培训,绩效奖金,年终奖金,定期体检,提供住宿",上市公司,1000-5000人,原材料和加工,5dc8e9af5955fa04c54b9c39
1478,中高级java开发工程师,1.2-2万/月,宁波捷创技术股份有限公司,宁波,3-4年经验,本科,"五险一金,交通补贴,餐饮补贴,通讯补贴,员工旅游,年终奖金,定期体检,情侣电影票,节日福利,周末双休",上市公司,150-500人,多元化业务集团公司,5dc8e9b05955fa04c54b9c3a
1479,java开发工程师,0.8-1万/月,鹿叭叭科技（杭州）有限公司,杭州-滨江区,2年经验,大专,,民营公司,少于50人,互联网/电子商务,5dc8e9b15955fa04c54b9c3b
1480,JAVA产品经理（需求分析经理）,0.8-1.5万/月,宁波杉工智能安全科技股份有限公司,宁波-海曙区,3-4年经验,本科,"五险一金,交通补贴,餐饮补贴,年终奖金,周末双休",民营公司,50-150人,仪器仪表/工业自动化,5dc8e9b25955fa04c54b9c3c
1481,JAVA研发工程师,0.8-1.5万/月,昌正实业（广州）有限公司,广州,3-4年经验,大专,"年终奖金,定期体检,出国机会,餐饮补贴,五险一金,全勤奖,工龄奖,加班补贴,交通便利,节日福利",民营公司,1000-5000人,互联网/电子商务,5dc8e9b35955fa04c54b9c3d
1482,软件工程师（Java/C/PHP/.NET）,4.5-6千/月,大连盛驰软件技术有限公司,大连-高新园区,无工作经验,大专,"五险一金,交通补贴,餐饮补贴,年终奖金,弹性工作,定期体检,专业培训,绩效奖金",民营公司,500-1000人,互联网/电子商务,5dc8e9b45955fa04c54b9c3e
1483,Java开发工程师,1.2-1.5万/月,格上出行服务有限公司,杭州-萧山区,2年经验,大专,,民营公司,50-150人,计算机软件,5dc8e9b55955fa04c54b9c3f
1484,Java开发工程师（厦门）,0.6-1.5万/月,浙江奥康鞋业股份有限公司,厦门,2年经验,大专,"专业培训,节日福利,五险一金",民营公司,,租赁服务,5dc8e9b65955fa04c54b9c40
