,position,salary,company_name,city,experience,education,welfare,company_type,company_scale,company_major,_id
0,高级应用软件开发工程师（java）,1.5-2万/月,杭州海康威视数字技术股份有限公司,南京,无工作经验,招4人,,上市公司,10000人以上,通信/电信/网络设备,5dc8e2615955fa04c54b9674
1,Java开发工程师,1-1.5万/月,中软国际科技服务有限公司,深圳-南山区,2年经验,大专,,合资,10000人以上,计算机软件,5dc8e2625955fa04c54b9675
2,Java开发工程师,1.2-1.5万/月,神州数码通用软件（北京）有限公司,上海,3-4年经验,本科,"五险一金,带薪年假,定期体检,定期团建",外资（非欧美）,500-1000人,计算机软件,5dc8e2635955fa04c54b9676
3,Java中级开发工程师,0.8-1.6万/月,苏州玩友时代科技股份有限公司,苏州-工业园区,无工作经验,招2人,"五险一金,年终奖金,绩效奖金,专业培训,定期体检,弹性工作",民营公司,1000-5000人,网络游戏,5dc8e2645955fa04c54b9677
4,Java开发工程师,0.8-1万/月,深圳市库袋科技有限公司,深圳-南山区,无工作经验,大专,"做五休二,带薪年假,包住宿,五险一金,绩效奖金",民营公司,50-150人,计算机软件,5dc8e2655955fa04c54b9678
5,Java中级工程师,6-8千/月,山西联康科技有限公司,太原,1年经验,大专,"专业培训,节日福利,绩效奖金,餐饮补贴,交通补贴,五险一金",民营公司,50-150人,计算机软件,5dc8e2665955fa04c54b9679
6,Java开发工程师,20-30万/年,江西金融登记结算中心有限公司,深圳-南山区,3-4年经验,大专,"周末双休,五险一金,绩效奖金,全勤奖,专业培训,交通补贴,餐饮补贴,通讯补贴,节日福利",民营公司,50-150人,金融/投资/证券,5dc8e2675955fa04c54b967a
7,高级Java开发工程师,1.5-2万/月,药房网商城,上海-浦东新区,3-4年经验,本科,"五险一金,免费班车,绩效奖金,年终奖金,股票期权,员工旅游,出国机会",民营公司,50-150人,互联网/电子商务,5dc8e2685955fa04c54b967b
8,java初级开发（双休）,4.5-6千/月,广州天朝文化传播有限公司,广州-海珠区,无工作经验,招2人,"五险一金,补充医疗保险,员工旅游,绩效奖金,年终奖金,定期体检",民营公司,50-150人,互联网/电子商务,5dc8e26a5955fa04c54b967c
9,中高级软件开发工程师（JAVA） (职位编号：009),0.7-1.5万/月,中水三立数据技术股份有限公司（原合肥三立自动化工程有限公司）,合肥,3-4年经验,本科,"五险一金,员工旅游,绩效奖金,年终奖金,定期体检,餐饮补贴,专业培训",上市公司,150-500人,电气/电力/水利,5dc8e26b5955fa04c54b967d
10,Java开发经理（周末双休+项目奖金）,1-1.2万/月,广州悦云信息科技有限公司,广州-越秀区,5-7年经验,大专,"周末双休,五险一金,带薪年假,发展空间,绩效奖金,员工生日,节日福利,员工旅游",民营公司,50-150人,计算机软件,5dc8e26c5955fa04c54b967e
11,Java高级开发工程师,1-1.5万/月,广州世安信息技术股份有限公司,广州-天河区,3-4年经验,本科,"五险一金,周末双休,年终奖金,交通补贴,通讯补贴,员工旅游,补充医疗保险",民营公司,50-150人,计算机服务(系统、数据服务、维修),5dc8e26d5955fa04c54b967f
12,java服务端开发工程师,0.7-2万/月,浙江通通科技有限公司,杭州,2年经验,大专,"五险一金,弹性工作,交通补贴,餐饮补贴,周末双休,年终奖金,员工旅游",民营公司,50-150人,互联网/电子商务,5dc8e26e5955fa04c54b9680
13,JAVA（高级）,1.1-1.4万/月,纬创软件（武汉）有限公司,武汉,无工作经验,招3人,"五险一金,专业培训,出国机会,绩效奖金,年终奖金,定期体检",民营公司,500-1000人,计算机软件,5dc8e26f5955fa04c54b9681
14,Java后台开发工程师,2-2.5万/月,上海茵实企业管理咨询有限公司,上海-静安区,3-4年经验,本科,,国企,50-150人,计算机服务(系统、数据服务、维修),5dc8e2705955fa04c54b9682
15,JAVA高级工程师（广州）,1.5-1.8万/月,天津科莱迪尔信息科技有限公司,广州-越秀区,3-4年经验,本科,,民营公司,1000-5000人,通信/电信/网络设备,5dc8e2725955fa04c54b9683
16,资深Java开发,1.3-2万/月,上海吾创信息科技有限公司,上海-浦东新区,5-7年经验,大专,"五险一金,员工旅游,年终奖金,餐饮补贴",民营公司,50-150人,计算机软件,5dc8e2735955fa04c54b9684
17,JAVA 研发工程师（2-3年）,0.8-1.2万/月,济南瀚盟网络技术有限公司,济南,3-4年经验,本科,"五险一金,绩效奖金,公司重点项目",事业单位,50-150人,计算机软件,5dc8e2745955fa04c54b9685
18,Java高级开发工程师（资管方向）,40-50万/年,中银基金管理有限公司,上海,无工作经验,本科,,合资,150-500人,金融/投资/证券,5dc8e2755955fa04c54b9686
19,Java开发/软件开发助理工程师,3-4.5千/月,厦门智汇祥盈科技有限公司,厦门,无工作经验,大专,"五险一金,绩效奖金,餐饮补贴,年终奖金,周末双休",民营公司,50-150人,计算机软件,5dc8e2765955fa04c54b9687
20,java开发,1-1.5万/月,江苏梦立渊软件技术有限公司,南京-玄武区,3-4年经验,大专,"五险一金,专业培训,包吃包住,带薪年假,节日福利",民营公司,50-150人,计算机软件,5dc8e2775955fa04c54b9688
21,软件编程（Java/web）计算机开发实习生,4.5-6千/月,合肥优创云软件科技有限公司,合肥-蜀山区,无工作经验,大专,,民营公司,500-1000人,计算机软件,5dc8e2785955fa04c54b9689
22,JAVA高级开发工程师（架构师）,1.4-1.8万/月,杭州吉时语科技有限公司,杭州-余杭区,5-7年经验,本科,"五险一金,绩效奖金,股票期权,弹性工作,员工旅游,周末双休,节日福利,餐饮补贴",民营公司,50-150人,电子技术/半导体/集成电路,5dc8e27a5955fa04c54b968a
23,资深Java工程师-基础服务,2-3.5万/月,挚享科技（上海）有限公司,上海-长宁区,3-4年经验,本科,"五险一金,专业培训,弹性工作,绩效奖金",外资（欧美）,500-1000人,互联网/电子商务,5dc8e27b5955fa04c54b968b
24,JAVA工程师,0.8-1万/月,优摩登软件开发（深圳）有限公司,深圳,2年经验,大专,"五险一金,员工旅游,周六双休,带薪年假",外资（非欧美）,50-150人,计算机软件,5dc8e27c5955fa04c54b968c
25,Java开发工程师,0.8-1.2万/月,深圳市北海轨道交通技术有限公司,深圳-南山区,3-4年经验,大专,"五险一金,补充医疗保险,年终奖金,员工旅游,定期体检",民营公司,50-150人,通信/电信/网络设备,5dc8e27d5955fa04c54b968d
26,Java开发工程师,0.8-1.5万/月,卓豪（北京）技术有限公司,北京-海淀区,1年经验,本科,"五险一金,补充医疗保险,员工旅游,交通补贴,餐饮补贴,通讯补贴,年终奖金,绩效奖金",外资（欧美）,5000-10000人,计算机软件,5dc8e27e5955fa04c54b968e
27,Java高级工程师 (职位编号：LXRJ012),1.3-2万/月,深圳联信软件科技有限公司,广州-越秀区,5-7年经验,大专,"五险一金,年终奖金",民营公司,50-150人,计算机软件,5dc8e2805955fa04c54b968f
28,JAVA开发工程师,1-2万/月,广州惠侨计算机科技有限公司,荆门,无工作经验,招2人,,上市公司,150-500人,计算机软件,5dc8e2815955fa04c54b9690
29,高级JAVA软件工程师,1.5-2.5万/月,上海砺羽网络科技有限公司,上海,5-7年经验,本科,,民营公司,少于50人,计算机软件,5dc8e2825955fa04c54b9691
30,资深JAVA研发工程师,2.5-4万/月,杭州达西信息技术有限公司,杭州-滨江区,5-7年经验,本科,"高提成,带薪年假,五险一金,绩效奖金,节日福利,专业培训,餐饮补贴,团建活动,法定假日",民营公司,50-150人,互联网/电子商务,5dc8e2835955fa04c54b9692
31,Java高级工程师-本部,1.5-2万/月,江苏润和软件股份有限公司,南京-雨花台区,5-7年经验,本科,"五险一金,餐饮补贴,年终奖金,弹性工作,定期体检,周末双休,股票期权,带薪年假,绩效奖金,免费班车",民营公司,5000-10000人,计算机软件,5dc8e2845955fa04c54b9693
32,Java开发工程师,1.5-2.5万/月,上海安逸网络科技有限公司,上海-浦东新区,无工作经验,招1人,"做五休二,周末双休,节日福利,全勤奖,绩效奖金",民营公司,150-500人,保险,5dc8e2855955fa04c54b9694
33,高级Java/android研发工程师,1-2万/月,深圳震有科技股份有限公司,深圳,2年经验,本科,"五险一金,补充医疗保险,员工旅游,绩效奖金,年终奖金,弹性工作,定期体检",民营公司,150-500人,通信/电信/网络设备,5dc8e2865955fa04c54b9695
34,中级JAVA,0.9-1.3万/月,华杰工程咨询有限公司中南分公司,武汉-�~口区,5-7年经验,本科,"五险一金,补充医疗保险,通讯补贴,专业培训,年终奖金,定期体检,商业保险,公积金12%,工作服,生日补助",合资,50-150人,计算机软件,5dc8e2875955fa04c54b9696
35,Java开发工程师,6-8万/年,西安卓越软件开发有限公司,西安,2年经验,本科,"股票期权,年终奖金,五险一金,补充医疗保险,绩效奖金,员工旅游,通讯补贴,弹性工作,专业培训,人身意外险",民营公司,50-150人,计算机软件,5dc8e2885955fa04c54b9697
36,Java开发工程师（微服务方向）,1.2-1.8万/月,上海金指软件技术有限公司,上海-浦东新区,3-4年经验,本科,"五险一金,餐饮补贴,员工旅游,股票期权,年终奖金,绩效奖金,定期体检,专业培训,出国机会,交通补贴",民营公司,50-150人,互联网/电子商务,5dc8e2895955fa04c54b9698
37,Java高级开发工程师 (职位编号：2),1-1.5万/月,湖南省赛宝软件服务有限公司,长沙-芙蓉区,5-7年经验,大专,"五险一金,绩效奖金,年终奖金,专业培训,员工旅游,定期体检,交通补贴,餐饮补贴,通讯补贴,股票期权",民营公司,少于50人,计算机软件,5dc8e28b5955fa04c54b9699
38,Java高级软件工程师(000771) (职位编号：gsafety000771),1-2万/月,北京辰安科技股份有限公司武汉分公司,武汉,5-7年经验,本科,"五险一金,补充医疗保险,免费班车,员工旅游,弹性工作,年终奖金,绩效奖金,专业培训,定期体检",上市公司,1000-5000人,计算机软件,5dc8e28c5955fa04c54b969a
39,Java中级开发工程师,0.6-1万/月,众创衣联（广州）供应链有限公司,广州-番禺区,2年经验,大专,"员工旅游,弹性工作,绩效奖金,年终奖金,定期体检,专业培训,五险一金",民营公司,150-500人,服装/纺织/皮革,5dc8e28d5955fa04c54b969b
40,JAVA后端工程师,1-1.5万/月,常州市勇阳信息技术有限公司,常州-新北区,2年经验,大专,,民营公司,少于50人,计算机软件,5dc8e28e5955fa04c54b969c
41,高级Java工程师Senior Java Engineer,1.5-2万/月,雷克软件系统（深圳）有限公司,广州-天河区,5-7年经验,招1人,"五险一金,通讯补贴,弹性工作,定期体检,专业培训",外资（非欧美）,50-150人,计算机软件,5dc8e28f5955fa04c54b969d
42,JAVA软件工程师,0.8-1.5万/月,武汉银诚数聚科技开发有限公司,武汉-洪山区,3-4年经验,大专,"五险一金,餐饮补贴,年终奖金,定期体检,弹性工作",民营公司,少于50人,计算机服务(系统、数据服务、维修),5dc8e2905955fa04c54b969e
43,高级Java开发工程师,1.5-2万/月,上海剪刀石头布家居实业有限公司,上海-闵行区,5-7年经验,大专,"五险一金,带薪年假,节日福利,专业培训,定期体检",民营公司,1000-5000人,批发/零售,5dc8e2925955fa04c54b969f
44,Java开发工程师,1-1.5万/月,上海易宝软件有限公司,成都-郫都区,3-4年经验,本科,"五险一金,免费班车,绩效奖金,弹性工作",民营公司,1000-5000人,计算机软件,5dc8e2935955fa04c54b96a0
45,高薪急聘 Java（.NET）讲师,0.8-1万/月,南昌德弘信息技术有限公司,南昌,无工作经验,招2人,"五险一金,绩效奖金,员工旅游,专业培训,免费住宿",民营公司,少于50人,教育/培训/院校,5dc8e2945955fa04c54b96a1
46,高校JAVA专职教师,0.8-1万/月,成都智畅信息科技发展有限公司,成都,无工作经验,招1人,"周末双休,带薪年假,专业培训,节日福利,五险一金",上市公司,150-500人,通信/电信/网络设备,5dc8e2955955fa04c54b96a2
47,Java软件工程师/高级软件开发工程师,1.5-3万/月,上海车团网络信息技术有限公司,上海-浦东新区,无工作经验,招若干人,"五险一金,绩效奖金,年终奖金,专业培训,交通补贴",民营公司,150-500人,互联网/电子商务,5dc8e2965955fa04c54b96a3
48,java后端开发工程师,1-1.5万/月,深圳市创富港商务服务股份有限公司,深圳-福田区,无工作经验,本科,"五险一金,员工旅游,年终奖金,绩效奖金,专业培训,定期体检",合资,1000-5000人,物业管理/商业中心,5dc8e2975955fa04c54b96a4
49,Java高级开发工程师,1-2万/月,上海旋荣科技股份有限公司,上海-黄浦区,无工作经验,招若干人,"做五休二,全勤奖,节日福利,通讯补贴,高温补贴,绩效奖金,五险一金,周末双休",上市公司,50-150人,计算机软件,5dc8e2985955fa04c54b96a5
50,Java开发工程师,1-2万/月,通维数码科技（上海）有限公司,武汉,2年经验,本科,"五险一金,弹性工作,补充医疗保险,定期体检,员工旅游,出国机会",上市公司,10000人以上,教育/培训/院校,5dc8e29c5955fa04c54b96a6
51,中高级JAVA工程师,1.2-1.8万/月,广东技安科技有限公司,东莞-南城区,5-7年经验,大专,,外资（欧美）,150-500人,计算机软件,5dc8e29d5955fa04c54b96a7
52,Java开发工程师,0.8-1万/月,武汉壹点壹滴科技有限公司,武汉-洪山区,3-4年经验,大专,"高提成,专业培训,节日福利,做五休二",民营公司,50-150人,计算机服务(系统、数据服务、维修),5dc8e29e5955fa04c54b96a8
53,JAVA软件工程师,0.5-1万/月,天津市柯洁辅医医疗管理有限公司,天津-津南区,2年经验,招若干人,,民营公司,50-150人,互联网/电子商务,5dc8e29f5955fa04c54b96a9
54,Java开发工程师,1.5-2.5万/月,杭州玖欣物联科技有限公司,杭州-滨江区,5-7年经验,本科,"五险一金,弹性工作,绩效奖金,年终奖金,股票期权",民营公司,500-1000人,物业管理/商业中心,5dc8e2a05955fa04c54b96aa
55,Java开发工程师,1-1.5万/月,上海益倍嘉金融信息服务有限公司,上海-浦东新区,3-4年经验,本科,"五险一金,年终奖金,交通补贴,餐饮补贴,通讯补贴,绩效奖金",民营公司,50-150人,互联网/电子商务,5dc8e2a15955fa04c54b96ab
56,（西安）Java服务端开发工程师,0.8-1.6万/月,中电太极（集团）有限公司,西安-雁塔区,3-4年经验,本科,"五险一金,交通补贴,餐饮补贴,定期体检,央企平台,通讯补贴",民营公司,50-150人,金融/投资/证券,5dc8e2a25955fa04c54b96ac
57,Java开发经理,2.5-3万/月,汽车街,上海,8-9年经验,本科,"五险一金,绩效奖金,带薪年假,餐饮补贴,高温补贴,节日福利",国企,5000-10000人,计算机软件,5dc8e2a35955fa04c54b96ad
58,Java开发工程师,1.5-2.5万/月,上海乐雅健康科技有限公司,上海,3-4年经验,本科,,合资,500-1000人,互联网/电子商务,5dc8e2a45955fa04c54b96ae
59,JAVA后端开发 5年工作经验,0.8-1.6万/月,江苏叁拾叁信息技术有限公司,南京-江宁区,5-7年经验,本科,"五险一金,年终奖金,绩效奖金,餐饮补贴,周末双休",民营公司,50-150人,互联网/电子商务,5dc8e2a55955fa04c54b96af
60,Java/C++转区块链开发工程师,1.5-2万/月,华科闪云（广东）科技有限公司,广州-花都区,5-7年经验,本科,,民营公司,50-150人,计算机软件,5dc8e2a65955fa04c54b96b0
61,Java开发工程师,1-1.5万/月,宁波水表股份有限公司,杭州-滨江区,无工作经验,本科,"五险一金,年终奖金,定期体检,专业培训,员工旅游",民营公司,少于50人,计算机软件,5dc8e2a75955fa04c54b96b1
62,软件开发工程师（java）,5-8千/月,华峰华锦集团有限公司,莆田,2年经验,本科,"五险一金,免费班车,包吃包住,专业培训,餐饮补贴,交通补贴",民营公司,50-150人,互联网/电子商务,5dc8e2a85955fa04c54b96b2
63,Java开发主管（国内）,1-1.5万/月,松下信息系�y（上海）有限公司,无锡,无工作经验,招1人,"全额加班费,五险一金,补充医疗保险,员工旅游,出国机会,专业培训,交通补贴,定期体检,年终奖金,免费班车",上市公司,500-1000人,仪器仪表/工业自动化,5dc8e2a95955fa04c54b96b3
64,中高级Java开发工程师（东北区）,0.8-1.4万/月,东华软件股份公司,沈阳-浑南区,无工作经验,本科,,民营公司,1000-5000人,服装/纺织/皮革,5dc8e2aa5955fa04c54b96b4
65,Java开发工程师,4-5千/月,泰康人寿保险有限责任公司黑龙江分公司,哈尔滨-香坊区,无工作经验,本科,"五险一金,绩效奖金,节日福利,专业培训,餐饮补贴,带薪年假,高温补贴",外资（非欧美）,150-500人,计算机软件,5dc8e2ab5955fa04c54b96b5
66,Java开发工程师,1-2万/月,广州立功科技股份有限公司,广州,无工作经验,本科,,上市公司,1000-5000人,计算机服务(系统、数据服务、维修),5dc8e2ad5955fa04c54b96b6
67,高级java开发工程师,1.3-2.5万/月,广州天鹏计算机科技有限公司,广州-天河区,3-4年经验,本科,"绩效奖金,餐饮补贴,员工旅游,专业培训,股票期权,定期体检,项目奖金,做五休二,交通便利,六险一金",合资,500-1000人,保险,5dc8e2ae5955fa04c54b96b7
68,Java高级开发工程师,0.8-1.5万/月,上海形拓科技有限公司,上海,3-4年经验,本科,"五险一金,年终奖金,绩效奖金,餐饮补贴,员工旅游,专业培训,交通补贴",上市公司,,金融/投资/证券,5dc8e2af5955fa04c54b96b8
69,Java开发工程师,1.2-1.8万/月,深圳中航信息科技产业股份有限公司,深圳-福田区,3-4年经验,本科,,民营公司,150-500人,电子技术/半导体/集成电路,5dc8e2b05955fa04c54b96b9
70,中高级JAVA开发工程师,1.5-2万/月,东方财富信息股份有限公司,南京,3-4年经验,本科,"五险一金,专业培训,年终奖金,季度奖金,周末双休,年度旅游,带薪年假,节日福利,体检",民营公司,150-500人,计算机软件,5dc8e2b15955fa04c54b96ba
71,高级Java开发工程师,1-1.5万/月,广州易达建信科技开发有限公司,南京-秦淮区,2年经验,本科,"五险一金,年终奖金,周末双休,带薪年假,节日福利",民营公司,少于50人,计算机软件,5dc8e2b35955fa04c54b96bb
72,Java开发工程师,6-8千/月,浙江七巧板信息科技股份有限公司,中山,1年经验,大专,"五险一金,员工旅游,餐饮补贴,专业培训,绩效奖金,定期体检,弹性工作,年终奖金",民营公司,500-1000人,计算机服务(系统、数据服务、维修),5dc8e2b45955fa04c54b96bc
73,JAVA软件工程师,5-7千/月,江苏银丰信息技术有限公司,西安-雁塔区,1年经验,本科,"五险一金,餐饮补贴,弹性工作,专业培训,员工旅游,年终奖金,股票期权,补充医疗保险,绩效奖金",上市公司,1000-5000人,互联网/电子商务,5dc8e2b85955fa04c54b96bd
74,Java高级开发工程师,1.6-2.5万/月,千巡科技（深圳）有限公司,深圳-宝安区,5-7年经验,本科,"五险一金,带薪年假,节日福利,专业培训",民营公司,150-500人,计算机软件,5dc8e2b95955fa04c54b96be
75,Java开发工程师/架构师（广告方向）,3-5万/月,众安在线财产保险股份有限公司,上海-黄浦区,3-4年经验,本科,"通讯补贴,弹性工作,专业培训,周末双休,下午茶",民营公司,50-150人,计算机软件,5dc8e2ba5955fa04c54b96bf
76,Java高级开发工程师,1.8-2.5万/月,深圳柚安米科技有限公司,深圳-龙岗区,5-7年经验,本科,"五险一金,弹性工作,餐饮补贴,定期体检,绩效奖金,年终奖金,员工旅游",民营公司,50-150人,计算机软件,5dc8e2bb5955fa04c54b96c0
77,Java开发工程师助理,4.5-6千/月,长春中软卓越科技有限公司,长春-朝阳区,无工作经验,大专,"五险一金,员工旅游,专业培训,通讯补贴,餐饮补贴,交通补贴,绩效奖金,年终奖金",民营公司,50-150人,仪器仪表/工业自动化,5dc8e2bc5955fa04c54b96c1
78,java软件工程师,1-1.5万/月,雷拓（广东）科技有限公司,广州-白云区,3-4年经验,大专,"专业培训,餐饮补贴,五险一金,节日福利,住房补贴,绩效奖金,带薪年假,包吃包住,员工旅游",民营公司,1000-5000人,互联网/电子商务,5dc8e2bd5955fa04c54b96c2
79,JAVA开发（测试方向）,0.6-1万/月,杭州博雅鸿图视频技术有限公司,杭州-西湖区,1年经验,本科,"五险一金,员工旅游,弹性工作,定期体检,年终奖金,交通补贴,餐饮补贴,通讯补贴,绩效奖金",民营公司,150-500人,互联网/电子商务,5dc8e2bf5955fa04c54b96c3
80,Java高级软件工程师/项目经理,25-45万/年,上海城市房地产估价有限公司,上海,5-7年经验,本科,"五险一金,绩效奖金,年终奖金,员工旅游,餐饮补贴,通讯补贴,交通补贴,专业培训,定期体检",上市公司,50-150人,计算机软件,5dc8e2c15955fa04c54b96c4
81,高级java工程师,1-2万/月,南京乐尔博信息科技有限公司,南京-秦淮区,5-7年经验,本科,"五险一金,节日福利,带薪年假,年终奖金,餐饮补贴,交通补贴",民营公司,150-500人,电子技术/半导体/集成电路,5dc8e2c25955fa04c54b96c5
82,Java高级开发工程师,1.5-2.5万/月,上海凯融信息科技有限公司,上海-普陀区,3-4年经验,本科,"五险一金,员工旅游,年终奖金,定期体检",创业公司,50-150人,电子技术/半导体/集成电路,5dc8e2c35955fa04c54b96c6
83,Java初级开发工程师,0.8-1.3万/月,上海久雅信息科技有限公司,上海,1年经验,本科,"五险一金,免费班车,员工旅游,餐饮补贴,专业培训,绩效奖金,年终奖金,股票期权,定期体检",民营公司,150-500人,专业服务(咨询、人力资源、财会),5dc8e2c45955fa04c54b96c7
84,架构师（Java&大数据开发方向）,3-5万/月,深圳索信达数据技术有限公司,深圳-南山区,5-7年经验,本科,"五险一金,员工旅游,专业培训,定期体检,节日福利,带薪年假,做五休二,年终奖金",民营公司,少于50人,计算机软件,5dc8e2c55955fa04c54b96c8
85,Java架构师,1.5-2.5万/月,荟品仓,上海-闵行区,3-4年经验,本科,"交通补贴,餐饮补贴,通讯补贴,专业培训,绩效奖金,弹性工作",外资（欧美）,150-500人,计算机软件,5dc8e2c75955fa04c54b96c9
86,Java开发工程师,0.6-1.2万/月,广州将军信息技术有限公司,广州-天河区,3-4年经验,大专,"周末双休,带薪年假,五险一金,绩效奖金,节日福利,弹性工作,国内外旅游,补充医疗保险,专业培训,年终奖金",民营公司,150-500人,计算机软件,5dc8e2c85955fa04c54b96ca
87,Java软件工程师,0.4-1万/月,国和瑞斯（北京）科技有限公司,北京-海淀区,2年经验,本科,"五险一金,交通补贴,通讯补贴,餐饮补贴",外资（非欧美）,150-500人,互联网/电子商务,5dc8e2c95955fa04c54b96cb
88,Java中级开发工程师,0.8-1.5万/月,高新兴智联,天津-滨海新区,无工作经验,招2人,"五险一金,免费班车,餐饮补贴,定期体检,通讯补贴,交通补贴,弹性工作,股票期权",民营公司,150-500人,批发/零售,5dc8e2ca5955fa04c54b96cc
89,Java/Html5工程师,5.5-8千/月,广州市科传计算机科技股份有限公司,广州-越秀区,2年经验,本科,"周末双休,带薪年假,五险一金,绩效奖金,年终双薪,商业保险",民营公司,50-150人,互联网/电子商务,5dc8e2cb5955fa04c54b96cd
90,Java开发工程师,0.6-1万/月,深圳前海中民电商有限公司,深圳-南山区,无工作经验,本科,"五险一金,补充医疗保险,员工旅游,定期体检,通讯补贴,全时奖",民营公司,50-150人,计算机软件,5dc8e2cc5955fa04c54b96ce
91,配送物流行业Java架构师,3.5-4万/月,马上消费金融股份有限公司,重庆,5-7年经验,招2人,,民营公司,150-500人,通信/电信/网络设备,5dc8e2cd5955fa04c54b96cf
92,Java高级开发工程师,1.5-2万/月,深圳市华腾百事通科技服务有限公司,深圳-福田区,无工作经验,招1人,"五险一金,员工旅游,年终奖金,绩效奖金,弹性工作,下午茶、旅游",外资（非欧美）,150-500人,计算机软件,5dc8e2ce5955fa04c54b96d0
93,Java中级开发工程师,0.8-1.2万/月,广东广凌信息科技股份有限公司,广州-天河区,2年经验,本科,"五险一金,员工旅游,专业培训,年终奖金,定期体检,交通补贴,通讯补贴",民营公司,150-500人,互联网/电子商务,5dc8e2d05955fa04c54b96d1
94,java开发工程师,2-3万/月,凌云光技术集团工业视觉事业部,北京-海淀区,5-7年经验,本科,"免费班车,绩效奖金",合资,1000-5000人,金融/投资/证券,5dc8e2d15955fa04c54b96d2
95,Java开发工程师,1-1.5万/月,广东联邦车网科技股份有限公司,广州-海珠区,3-4年经验,大专,"五险一金,员工旅游,周末双休,带薪年假",民营公司,少于50人,通信/电信运营、增值服务,5dc8e2d25955fa04c54b96d3
96,Java高级软件工程师,5-9千/月,央联支付有限公司,武汉-江汉区,无工作经验,招1人,"周末双休,带薪年假,节日福利,专业培训,绩效奖金",上市公司,50-150人,计算机服务(系统、数据服务、维修),5dc8e2d35955fa04c54b96d4
97,中高级Java开发工程师,1-1.5万/月,苏州弗格信息科技有限公司,上海-浦东新区,3-4年经验,本科,"五险一金,员工旅游,节假日福利,生日福利",民营公司,50-150人,计算机软件,5dc8e2d75955fa04c54b96d5
98,Java开发工程师（中高级）,0.8-1.5万/月,广州煜晨信息科技有限公司,广州-天河区,3-4年经验,本科,"五险一金,员工旅游,餐饮补贴,绩效奖金,带薪年假",民营公司,50-150人,互联网/电子商务,5dc8e2d85955fa04c54b96d6
99,Java开发工程师,0.8-1万/月,西安周吉堂生物科技有限公司,贵阳,无工作经验,大专,"五险一金,补充医疗保险,餐饮补贴,年终奖金,通讯补贴,交通补贴,弹性工作,定期体检",民营公司,少于50人,互联网/电子商务,5dc8e2d95955fa04c54b96d7
100,高级Java工程师,1-1.5万/月,上海天律信息技术有限公司,上海-浦东新区,无工作经验,本科,"五险一金,员工旅游,餐饮补贴,专业培训,绩效奖金,股票期权,免费班车",民营公司,50-150人,计算机软件,5dc8e2da5955fa04c54b96d8
101,Java开发工程师,1-2万/月,深圳奥比中光科技有限公司,上海-普陀区,2年经验,本科,,民营公司,500-1000人,互联网/电子商务,5dc8e2dc5955fa04c54b96d9
102,Java开发工程师,6-8千/月,江苏达海智能系统股份有限公司,上海-杨浦区,1年经验,本科,"五险一金,专业培训,绩效奖金,定期体检",上市公司,150-500人,建筑/建材/工程,5dc8e2e55955fa04c54b96da
103,JAVA工程师,1.2-2万/月,深圳麦亚信科技股份有限公司,深圳-南山区,3-4年经验,大专,"五险一金,员工旅游,生日礼物,司龄补贴,过节礼物,年度体检,伯乐奖,级别福利",上市公司,150-500人,计算机软件,5dc8e2e65955fa04c54b96db
104,初级Java开发工程师,7-9千/月,广州市两棵树网络科技有限公司,广州,1年经验,大专,"五险一金,员工旅游,餐饮补贴,专业培训,绩效奖金,年终奖金,股票期权,弹性工作,周末双休",民营公司,150-500人,互联网/电子商务,5dc8e2e75955fa04c54b96dc
105,Senior Java Engineer,2-3万/月,启信软件科技（上海）有限公司,上海-静安区,无工作经验,本科,"五险一金,补充医疗保险,专业培训,弹性工作,定期体检",外资（欧美）,1000-5000人,计算机软件,5dc8e2e85955fa04c54b96dd
106,Java高级开发工程师,2-2.5万/月,青岛优友电子商务有限公司,北京-大兴区,5-7年经验,本科,"五险一金,周末双休,带薪年假",外资（非欧美）,少于50人,互联网/电子商务,5dc8e2e95955fa04c54b96de
107,JAVA 中级工程师,1.5-2万/月,广州云积软件技术有限公司,广州-黄埔区,3-4年经验,本科,"绩效奖金,专业培训,定期体检,员工旅游,年终奖金,六险一金,周末双休",民营公司,50-150人,计算机软件,5dc8e2ea5955fa04c54b96df
108,Java高级开发工程师,2-2.5万/月,众享(广州)科技有限公司,广州-天河区,5-7年经验,本科,"五险一金,做五休二,交通补贴,餐饮补贴,弹性工作,定期体检,部门团建,绩效奖金",创业公司,50-150人,计算机软件,5dc8e2ec5955fa04c54b96e0
109,Java开发工程师,0.6-1.5万/月,武汉智远软件有限责任公司,武汉-江汉区,3-4年经验,大专,"五险一金,绩效奖金,定期体检,员工旅游,餐饮补贴,通讯补贴,专业培训,年终奖金",民营公司,50-150人,计算机软件,5dc8e2ed5955fa04c54b96e1
110,java助理,6-8千/月,广州勤俊科技有限公司,广州-黄埔区,无工作经验,招若干人,,民营公司,150-500人,电子技术/半导体/集成电路,5dc8e2ee5955fa04c54b96e2
111,Java开发工程师（接受转行）,1.5-2万/月,大连易拓科技有限公司,大连-高新园区,无工作经验,大专,"五险一金,专业培训,出国机会,年终奖金,弹性工作,带薪年假,大牛带队,做五休二",民营公司,50-150人,计算机软件,5dc8e2ef5955fa04c54b96e3
